"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2639","RT @arabnews: OPINION: At a time of multiple crises, of which the #coronavirus is the latest, #Iran’s theocratic elite is finding that its…",FALSE,0,NA,2020-04-03 19:07:04,FALSE,NA,"1246152256124305408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mohalsulami",19,TRUE,FALSE,NA,NA
"2640","RT @arabnewspk: #ItalyCoronavirus: Here's our special story on #Pakistanis in #Italy, springing to action, collecting donations, distributi…",FALSE,0,NA,2020-04-03 19:07:02,FALSE,NA,"1246152247584731136",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sharpthnkr",46,TRUE,FALSE,NA,NA
"2641","RT @arabnewspk: #ItalyCoronavirus: Here's our special story on #Pakistanis in #Italy, springing to action, collecting donations, distributi…",FALSE,0,NA,2020-04-03 19:06:38,FALSE,NA,"1246152144685858816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InfoKhanzada",46,TRUE,FALSE,NA,NA
"2642","RT @Keemokazi1: Why do all Arab moms know how to fight 😭😭 https://t.co/u1h9AqFrs2",FALSE,0,NA,2020-04-03 19:06:26,FALSE,NA,"1246152095897735176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shhhhrnza",6602,TRUE,FALSE,NA,NA
"2643","RT @Keemokazi1: Why do all Arab moms know how to fight 😭😭 https://t.co/u1h9AqFrs2",FALSE,0,NA,2020-04-03 19:06:13,FALSE,NA,"1246152038666268672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danialkhiroon",6602,TRUE,FALSE,NA,NA
"2644","Used to do the whole Fairouz music with a cup of coffee at 5am ritual but lately her music makes me sad for some re… https://t.co/d1rqP7Tv6O",FALSE,0,NA,2020-04-03 19:06:05,TRUE,NA,"1246152006387073025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","silvilac",0,FALSE,FALSE,NA,NA
"2645","RT @arabnewspk: #ItalyCoronavirus: Here's our special story on #Pakistanis in #Italy, springing to action, collecting donations, distributi…",FALSE,0,NA,2020-04-03 19:06:01,FALSE,NA,"1246151989609877511",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IrfanShakirr",46,TRUE,FALSE,NA,NA
"2646","RT @VoteForSolomon: Dearborn has the largest concentration of Arab-Americans in the country. 

Yet, Rep. Dingell refuses to support a resol…",FALSE,0,NA,2020-04-03 19:06:01,FALSE,NA,"1246151988158640133",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fyi42day",13,TRUE,FALSE,NA,NA
"2647","I had a call for a position that would require a lot of travel and time away from home and I told my mom and she’s… https://t.co/r2QMA8APhV",FALSE,1,NA,2020-04-03 19:05:55,TRUE,NA,"1246151964892762113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sbrnhl",0,FALSE,FALSE,NA,NA
"2648","So who's that brown woman screaming in a demonstration?
Sorry. Should I not scream?
I forgot to be your every orien… https://t.co/FdPl96WRmi",FALSE,0,NA,2020-04-03 19:05:54,TRUE,NA,"1246151961864482817",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tazfred",0,FALSE,FALSE,NA,NA
"2649","anyways. arab/muslim non-oomfs follow me 💆‍♀️💆‍♀️ https://t.co/rE85mvQYBp",FALSE,9,NA,2020-04-03 19:05:53,FALSE,NA,"1246151958261567495",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ttaevee",0,FALSE,FALSE,NA,NA
"2650","RT @Keemokazi1: Why do all Arab moms know how to fight 😭😭 https://t.co/u1h9AqFrs2",FALSE,0,NA,2020-04-03 19:05:52,FALSE,NA,"1246151952536240133",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nraliahsnn",6602,TRUE,FALSE,NA,NA
"2651","@kittyyoonglz @hopiestae is there an arab dad who doesn’t 😭😭",FALSE,2,"kittyyoonglz",2020-04-03 19:05:47,FALSE,"1246151598130290690","1246151932445700106","1117584154412093446","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gidIepop",0,FALSE,FALSE,NA,NA
"2652","@adonisband: the Arab Coldplay.",FALSE,0,"adonisband",2020-04-03 19:05:36,FALSE,NA,"1246151884139880448","360565665","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yasxow",0,FALSE,FALSE,NA,NA
"2653","@yes_we_cat @robinsonmsr10 @Scribejohnm @themoiety @inshallah1001 @SmakSmik @zoolooy @IshKabi @bad_bec… https://t.co/rJPgHeUMpj",FALSE,0,"yes_we_cat",2020-04-03 19:05:21,TRUE,"1246150993085108231","1246151824140316674","2527851134","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gagne_laurent",1,FALSE,FALSE,NA,NA
"2654","RT @nebtita: this paper was aware of her abuse and enslavement all along and wrote a whole paragraph on why they were justified in not help…",FALSE,0,NA,2020-04-03 19:05:19,FALSE,NA,"1246151811976671233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theygotmepart2",54,TRUE,FALSE,NA,NA
"2655","RT @VoteForSolomon: Dearborn has the largest concentration of Arab-Americans in the country. 

Yet, Rep. Dingell refuses to support a resol…",FALSE,0,NA,2020-04-03 19:05:17,FALSE,NA,"1246151806746603521",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abmillan22",13,TRUE,FALSE,NA,NA
"2656","RT @VoteForSolomon: Dearborn has the largest concentration of Arab-Americans in the country. 

Yet, Rep. Dingell refuses to support a resol…",FALSE,0,NA,2020-04-03 19:05:15,FALSE,NA,"1246151795283550208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cwharlow",13,TRUE,FALSE,NA,NA
"2657","Five years on, has the Arab coalition achieved its objectives in #Yemen? | New piece by @Ibrahim4Yemen

https://t.co/j8wd8LInIK",FALSE,1,NA,2020-04-03 19:05:04,FALSE,NA,"1246151749309792262",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MiddleEastInst",2,FALSE,FALSE,NA,NA
"2658","RT @GadSaad: Young American woman of privilege attacks a differently-weighted 55 year old Arab Jew war refugee. Do you hate Arabic speaking…",FALSE,0,NA,2020-04-03 19:04:57,FALSE,NA,"1246151720461312007",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","neo_espartano",28,TRUE,FALSE,NA,NA
"2659","RT @arabnewspk: #ItalyCoronavirus: Here's our special story on #Pakistanis in #Italy, springing to action, collecting donations, distributi…",FALSE,0,NA,2020-04-03 19:04:56,FALSE,NA,"1246151717357576199",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SafaidPhool",46,TRUE,FALSE,NA,NA
"2660","Our grantee @Shatil_Israel is making sure Israel's periphery – which is disproportionately populated by Mizrahi Jew… https://t.co/a23NrmKbVl",FALSE,2,NA,2020-04-03 19:04:52,TRUE,NA,"1246151700878102528",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NewIsraelFund",2,FALSE,FALSE,NA,NA
"2661","RT @Y2SHAF: i would open this fridge and close it immediately",FALSE,0,NA,2020-04-03 19:04:48,FALSE,NA,"1246151684352507913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Esraa__Arab",9573,TRUE,FALSE,NA,NA
"2662","RT @ecesbetch: @NMRin_09 yep
some people made it out to be turkish fandom vs arab and foreign fandom all because we pointed out the ones th…",FALSE,0,NA,2020-04-03 19:04:48,FALSE,NA,"1246151683010433024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OJRl2GXgeA74Wbv",13,TRUE,FALSE,NA,NA
"2663","RT @GadSaad: Young American woman of privilege attacks a differently-weighted 55 year old Arab Jew war refugee. Do you hate Arabic speaking…",FALSE,0,NA,2020-04-03 19:04:37,FALSE,NA,"1246151637816741888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","senderman",28,TRUE,FALSE,NA,NA
"2664","RT @dijoni: She was a young domestic worker from Africa working in the Middle East and wealthy Arab family.
They brutalize her and killed h…",FALSE,0,NA,2020-04-03 19:04:36,FALSE,NA,"1246151632301285377",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nkosivuyile",203,TRUE,FALSE,NA,NA
"2665","RT @RGC__Comics: smart. preemptive evidence that he has dangerous ""art"" around his house that even he bumps into so when police find his wi…",FALSE,0,NA,2020-04-03 19:04:22,FALSE,NA,"1246151574226960385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Skeptical_Arab",108,TRUE,FALSE,NA,NA
"2666","RT @Keemokazi1: Why do all Arab moms know how to fight 😭😭 https://t.co/u1h9AqFrs2",FALSE,0,NA,2020-04-03 19:04:03,FALSE,NA,"1246151493658357760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anistrmz",6602,TRUE,FALSE,NA,NA
"2667","RT @savebisri: Stopping the Bisri Dam: From Local to National Contestation
 
Including interview with @rolandnassour
Authors: @joeyayoub &amp;…",FALSE,0,NA,2020-04-03 19:03:50,FALSE,NA,"1246151439438819329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArabReform_ARI",22,TRUE,FALSE,NA,NA
"2668","totally naked girls ass shaking video bondage fetish free porn arab mature bbw adrienne bailon nude pics 3d adult a… https://t.co/eWbqn21pdO",FALSE,0,NA,2020-04-03 19:03:40,TRUE,NA,"1246151400876396544",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","simon_andreee",0,FALSE,FALSE,NA,NA
"2669","#Pakistan’s capital market witnessed massive outflow of hot money during March as foreign investors divested $1.74… https://t.co/MQaf8PoRxz",FALSE,2,NA,2020-04-03 19:03:34,TRUE,NA,"1246151375391621120",NA,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Socialbakers</a>","arabnewspk",1,FALSE,FALSE,NA,NA
"2670","RT @arabnewspk: #ItalyCoronavirus: Here's our special story on #Pakistanis in #Italy, springing to action, collecting donations, distributi…",FALSE,0,NA,2020-04-03 19:03:31,FALSE,NA,"1246151361646952448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shamaz2010",46,TRUE,FALSE,NA,NA
"2671","@robinsonmsr10 @Scribejohnm @themoiety @inshallah1001 @SmakSmik @yes_we_cat @zoolooy @IshKabi @bad_bec… https://t.co/5NMQtRdgKa",FALSE,0,"robinsonmsr10",2020-04-03 19:03:23,TRUE,"1246148986291007489","1246151325861072896","707973462351073280","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gagne_laurent",1,FALSE,FALSE,NA,NA
"2672","RT @arabnews: As #France battles a rapidly spreading #coronavirus outbreak, these 3 #Saudi doctors told Arab News about their work helping…",FALSE,0,NA,2020-04-03 19:03:14,FALSE,NA,"1246151291539206147",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rafeeq3636",32,TRUE,FALSE,NA,NA
"2673","@aamullanee @hypebaji Wb the shafii madhab in regard to the kafaah of an Arab woman marrying a non Arab?",FALSE,2,"aamullanee",2020-04-03 19:03:03,FALSE,"1246149359437254657","1246151243124350978","730225381823938560","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paxbritannican",0,FALSE,FALSE,NA,NA
"2674","Follow some cool Arab-Americans and get more culture in your timeline! https://t.co/EDrMgVBkv4",FALSE,2,NA,2020-04-03 19:03:02,FALSE,NA,"1246151238263042049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tariq_kyle",2,FALSE,FALSE,NA,NA
"2675","RT @arabnewspk: #ItalyCoronavirus: Here's our special story on #Pakistanis in #Italy, springing to action, collecting donations, distributi…",FALSE,0,NA,2020-04-03 19:03:01,FALSE,NA,"1246151233154539523",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Waseemshahall",46,TRUE,FALSE,NA,NA
"2676","RT @Keemokazi1: Why do all Arab moms know how to fight 😭😭 https://t.co/u1h9AqFrs2",FALSE,0,NA,2020-04-03 19:03:00,FALSE,NA,"1246151231149494272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eshaerinz",6602,TRUE,FALSE,NA,NA
"2677","RT @Scribejohnm: @gagne_laurent @themoiety @inshallah1001 @SmakSmik @yes_we_cat @zoolooy @IshKabi @bad_bec @ShiraGlenora @vafairman @malkaa…",FALSE,0,NA,2020-04-03 19:02:59,FALSE,NA,"1246151225852248067",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PaulTReynolds",9,TRUE,FALSE,NA,NA
"2678","RT @VoteForSolomon: Dearborn has the largest concentration of Arab-Americans in the country. 

Yet, Rep. Dingell refuses to support a resol…",FALSE,0,NA,2020-04-03 19:02:59,FALSE,NA,"1246151225059483651",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Omni_politics_",13,TRUE,FALSE,NA,NA
"2679","RT @haaretzcom: Israel's refusal to test its Arab population for COVID-19 is a ticking time-bomb | Opinion https://t.co/DYMEGfST7o",FALSE,0,NA,2020-04-03 19:02:57,FALSE,NA,"1246151219648835586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cosmotron3000",1181,TRUE,FALSE,NA,NA
"2680","RT @Keemokazi1: Why do all Arab moms know how to fight 😭😭 https://t.co/u1h9AqFrs2",FALSE,0,NA,2020-04-03 19:02:57,FALSE,NA,"1246151217287286784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nadzmizain",6602,TRUE,FALSE,NA,NA
"2681","@AbaidUllahMojii @masoo24757273 @iamhamzaabbasi @KashafZareef U mixing deen with society abu Jahl have also beard a… https://t.co/mLI5XVGHPG",FALSE,0,"AbaidUllahMojii",2020-04-03 19:02:57,TRUE,"1246126639672520705","1246151217191018497","2608443474","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KhestaGul",0,FALSE,FALSE,NA,NA
"2682","RT @haaretzcom: Israel's refusal to test its Arab population for COVID-19 is a ticking time-bomb | Opinion https://t.co/DYMEGfST7o",FALSE,0,NA,2020-04-03 19:02:56,FALSE,NA,"1246151216188383233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iam_SyedIrfan",1181,TRUE,FALSE,NA,NA
"2683","RT @GadSaad: Young American woman of privilege attacks a differently-weighted 55 year old Arab Jew war refugee. Do you hate Arabic speaking…",FALSE,0,NA,2020-04-03 19:02:56,FALSE,NA,"1246151212967366658",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shail67330119",28,TRUE,FALSE,NA,NA
"2684","findom | finD | finsub | humanatm
#asswhoreship #assworshippers #findom $ent #dominantmiss #FindomBrat #paypiggy… https://t.co/507F6rILf3",FALSE,0,NA,2020-04-03 19:02:55,TRUE,NA,"1246151209112739841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandragoddesss",0,FALSE,FALSE,NA,NA
"2685","RT @arabnewspk: #ItalyCoronavirus: Here's our special story on #Pakistanis in #Italy, springing to action, collecting donations, distributi…",FALSE,0,NA,2020-04-03 19:02:52,FALSE,NA,"1246151195783241729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ubaidmalik89",46,TRUE,FALSE,NA,NA
"2686","RT @mayarako: @AngeIAriza It’s kinda complicated, there’s thousands of different tribes and ethnic groups and global influences. Like my co…",FALSE,0,NA,2020-04-03 19:02:50,FALSE,NA,"1246151189168824329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngeIAriza",1,TRUE,FALSE,NA,NA
